link,id,price_czk,size_sqm,floor,rooms,district_num,neighborhood,date_updated,Buy Or Sell,seller_name
https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vinohrady-rubesova/3112395596,3112395596,6900000,26,,1+kk,,vinohrady,,buy,
https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vinohrady-rimska/2651542348,2651542348,9881500,35,,1+kk,,vinohrady,,buy,
https://www.sreality.cz/detail/prodej/byt/4+kk/praha-vinohrady-polska/2027713356,2027713356,1,146,,4+kk,,vinohrady,,buy,
https://www.sreality.cz/detail/prodej/byt/4+kk/praha-nove-mesto-zahoranskeho/4020908876,4020908876,27000000,128,,4+kk,,nove,,buy,
https://www.sreality.cz/detail/prodej/byt/1+kk/praha-nove-mesto-sokolska/2274583372,2274583372,6490000,41,,1+kk,,nove,,buy,
