link,id,price_czk,size_sqm,floor,rooms,district_num,neighborhood,date_updated,Buy Or Sell,seller_name
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zizkov-olgy-havlove/4127613516,4127613516,14595000,78,14,3+kk,3,Žižkov,07.04.2026,buy,Luboš Novák
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vinohrady-namesti-jiriho-z-lobkovic/1215906636,1215906636,13610000,73,6,3+kk,3,Vinohrady,Dnes,buy,Martin Veselý
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vinohrady-chrudimska/3134157644,3134157644,7750000,42,1,2+kk,3,Vinohrady,Dnes,buy,Martin Veselý
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vinohrady-vinohradska/3039007564,3039007564,1,107,4,3+kk,3,Vinohrady,Dnes,buy,Simon Lukavský
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zizkov-malesicka/441209676,441209676,16269000,90,3,3+kk,3,Žižkov,Dnes,buy,Michal Bakaj
