link,id,price_czk,size_sqm,floor,rooms,district_num,neighborhood,date_updated,Buy Or Sell,seller_name
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-olgy-havlove/2702885452,2702885452,9297000,45,,2+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/2+kk/praha--lucemburska/2096849740,2096849740,12500000,51,,2+kk,,lucemburska,,buy,
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-olgy-havlove/586179404,586179404,9250000,44,,2+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/1+1/praha-zizkov-baranova/3615449932,3615449932,8550000,49,,1+1,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/1+kk/praha-zizkov-malesicka/3551814476,3551814476,6990000,69,,1+kk,,zizkov,,buy,
