link,id,price_czk,size_sqm,floor,rooms,district_num,neighborhood,date_updated,Buy Or Sell,seller_name
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zizkov-olgy-havlove/4127613516,4127613516,14595000,78,,3+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vinohrady-namesti-jiriho-z-lobkovic/1215906636,1215906636,13610000,73,,3+kk,,vinohrady,,buy,
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vinohrady-chrudimska/3134157644,3134157644,7750000,42,,2+kk,,vinohrady,,buy,
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vinohrady-vinohradska/3039007564,3039007564,1,107,,3+kk,,vinohrady,,buy,
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zizkov-malesicka/441209676,441209676,16269000,90,,3+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/1+kk/praha-zizkov-malesicka/794579788,794579788,9862000,38,,1+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-malesicka/2438746956,2438746956,12437000,62,,2+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/4+kk/praha-zizkov-malesicka/2756465484,2756465484,21580000,103,,4+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/4+kk/praha-zizkov-malesicka/3395048268,3395048268,21046000,98,,4+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-malesicka/3997979468,3997979468,11273000,47,,2+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-jana-zelivskeho/590168908,590168908,8986000,47,,2+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/4+1/praha-zizkov-vinohradska/668246860,668246860,20990000,124,,4+1,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/5+kk/praha-zizkov-cajkovskeho/1392673612,1392673612,29500000,186,,5+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/1+kk/praha-zizkov-hartigova/1364153164,1364153164,8190000,45,,1+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/1+1/praha-zizkov-rohacova/3199905868,3199905868,6900000,30,,1+1,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-ke-kapslovne/3874952012,3874952012,11690000,58,,2+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zizkov-kalisnicka/1698513740,1698513740,15500000,93,,3+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-vinohradska/3561190220,3561190220,8600000,49,,2+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/5+kk/praha-zizkov-pod-vitkovem/3838063436,3838063436,31387273,165,,5+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/4+kk/praha-zizkov-pod-vitkovem/354308940,354308940,20519157,105,,4+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/5+kk/praha-zizkov-premyslovska/4136067916,4136067916,17450000,113,,5+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-pribyslavska/4037783628,4037783628,10490000,56,,2+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/2+1/praha-zizkov-habrova/1789898828,1789898828,11499000,52,,2+1,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-bukova/660161356,660161356,7990000,47,,2+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/1+kk/praha-zizkov-v-domove/439767884,439767884,5300000,25,,1+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zizkov-borivojova/301818700,301818700,15895000,81,,3+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/4+kk/praha-zizkov-domazlicka/2825986892,2825986892,12490000,85,,4+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zizkov-kvetinkova/743011148,743011148,10799000,71,,3+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-jeseniova/1530491724,1530491724,8873000,61,,2+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vinohrady-vinohradska/2786321228,2786321228,1,78,,3+kk,,vinohrady,,buy,
https://www.sreality.cz/detail/prodej/byt/4+kk/praha-vinohrady-boleslavska/3408413516,3408413516,29990000,129,,4+kk,,vinohrady,,buy,
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zizkov-ke-kapslovne/3236627276,3236627276,18200000,111,,3+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/1+kk/praha-zizkov-malesicka/837043020,837043020,8700000,38,,1+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-olgy-havlove/863851340,863851340,11198000,54,,2+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-u-viktorie/1540416332,1540416332,15950000,67,,2+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-jezkova/257774412,257774412,8890000,43,,2+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-strasnice-zverinova/2914935628,2914935628,17400000,97,,3+kk,,strasnice,,buy,
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zizkov-jeseniova/1477423180,1477423180,9300000,60,,3+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-malesicka/2107814732,2107814732,12990000,84,,2+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/3+1/praha-zizkov-biskupcova/4290528076,4290528076,12990000,88,,3+1,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-jana-zelivskeho/1535267660,1535267660,8769000,47,,2+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zizkov-biskupcova/2604995404,2604995404,19790000,113,,3+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-jana-zelivskeho/3414315852,3414315852,9168000,47,,2+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-strasnice-zverinova/3710890060,3710890060,16990000,99,,3+kk,,strasnice,,buy,
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-viklefova/1863861068,1863861068,8840000,53,,2+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zizkov-hartigova/2599522892,2599522892,22024477,88,,3+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-borivojova/3498029132,3498029132,12895000,63,,2+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/4+kk/praha-zizkov-malesicka/1223775052,1223775052,33200000,131,,4+kk,,zizkov,,buy,
https://www.sreality.cz/detail/prodej/byt/1+kk/praha-praha-3-/3679675212,3679675212,7650000,37,,1+kk,3,,,buy,
https://www.sreality.cz/detail/prodej/byt/1+kk/praha-zizkov-ke-kapslovne/4019483468,4019483468,8500000,38,,1+kk,,zizkov,,buy,
